,username,album,artist,date_posted,url
43,"@duasboobs_, @kehlanizm, @amalastorm",Amala (Deluxe Version),Doja Cat,2021-07-05 09:14:59.816189,https://lastfm.freetls.fastly.net/i/u/100s/5cef99c7b4199a3f4a05fdde792d84f5.jpg
44,@sophiemarley_,You Are Someone Else,Fickle Friends,2021-07-05 09:14:59.816189,https://lastfm.freetls.fastly.net/i/u/100s/49d4c2421a17f3342bcb13edb312d2d2.jpg
45,@flickcow,Unsainted,Slipknot,2021-07-05 09:14:59.816189,https://lastfm.freetls.fastly.net/i/u/100s/4eb397a9a26fba71d398814e9607416f.jpg
46,@candysavyswag,ANTIHERO,CONVOLK,2021-07-05 09:14:59.816189,https://lastfm.freetls.fastly.net/i/u/100s/52dbfdfc71a582e394dd04dee12f794f.jpg
47,"@chloexyoung0, @queen.of.the.dayx, @f4ncychuu, @eren.yeagev",MAP OF THE SOUL : 7,BTS,2021-07-05 09:14:59.816189,https://lastfm.freetls.fastly.net/i/u/100s/54c91da2fb13a0e00e056784145afd80.jpg
48,"@anychns, @mayachristine_30, @niteszn",BE,BTS,2021-07-05 09:14:59.816189,https://lastfm.freetls.fastly.net/i/u/100s/57db3f7d3d8dfdb907228a9239f1837b.jpg
49,"@jessiemans_, @derek_llopis",Worlds,Porter Robinson,2021-07-05 09:14:59.816189,https://lastfm.freetls.fastly.net/i/u/100s/599473f366dc4753c7ed0ed64f23df83.jpg
50,@hooditlou,Someday We Will Foresee Obstacles,Syd Matters,2021-07-05 09:14:59.816189,https://lastfm.freetls.fastly.net/i/u/100s/6509f913a6e373f32b62b613c284d235.jpg
51,@michelle.kfrx,До свидания,IC3PEAK,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/ab72603510789b5288f0260dcbaaf1da.jpg
52,@happyxiaojxn,Dynamite,BTS,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/88188455b6b1d562c6db01e24f725165.jpg
53,"@honeymoon.moonlightbae, @lizziedupree, @mayceeleslie",Positions,Ariana Grande,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/8d71cf30ab608127ea3bac16d98c9937.jpg
54,@sloppycorn,Donuts,J Dilla,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/8f5eb95d8de4652a2b8d5b5e26719a22.jpg
55,@nickbraueer,Karma and Effect,Seether,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/8fd77d528ec0467eaf5136b20fa2676f.jpg
56,"@joaopreys, @mmalaikaaa",The Family Jewels,Marina & the Diamonds,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/973753c9ae86630ff9c13d896964e523.jpg
57,@t7ch4,Tighter,Mindless Self Indulgence,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/98d7fe76ae559767a9d2b060e013cd5c.jpg
58,@emilialwayscrying,Moral Panic,Nothing But Thieves,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/9997b7c54f2e8f1db7de3f1fb2f95781.jpg
59,@raetardd,To Let a Good Thing Die,Bruno Major,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/99ca8d89a4b625905e1cfe4fc279162d.jpg
60,"@reginagaribay25, @maduzurks, @lfernandarubio",SOUR,Olivia Rodrigo,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/9da8add22ca31771a440d2a6f7615f6d.jpg
61,"@dxzairne, @vanityluvzme",WINGS,BTS,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/85aa678fdcba88eedd874d7e6bef1ce5.jpg
62,@star4ngel,Ctrl,SZA,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/9dcae165f522e0d818f7e75a3b5b6e16.jpg
63,@lisa.1308x,Cheshire Cat,blink-182,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/9eae9d1c780bcda03b1351f1c2a4d516.jpg
64,"@meganhalliday00, @_martamas",Swimming,Mac Miller,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/9f0e333c941c1a0147fc5d347d343e6d.jpg
65,@norimatyiszababo,Tickets To My Downfall (SOLD OUT Deluxe),Machine Gun Kelly,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/9fe297bf5417566ad8aa5bc34a70e541.jpg
66,@evieproctorr,Without You I'm Nothing,Placebo,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/a1661e873d3eb5eb09cdc76b9b90a850.jpg
